Day of sim.,Day of year,Year,Slurry mass,Frozen mass,Slurry depth,Air T,Wall T,Floor T,In T,Slurry T
,,,(Mg = 1000 kg),(Mg = 1000 kg),(m),(deg. C),(deg. C),(deg. C),(deg. C),(deg. C)
day,doy,year,slurry_mass,frozen_mass,slurry_depth,air_temp,wall_temp,floor_temp,in_temp,slurry_temp
 260,260,   1,  110.00,    0.00,    3.89,   11.97,   14.07,   14.37,   16.52,   16.49
 261,261,   1,  110.00,    0.00,    3.89,   11.77,   13.87,   14.17,   16.47,   16.44
 262,262,   1,  110.00,    0.00,    3.89,   11.57,   13.67,   13.97,   16.41,   16.38
 263,263,   1,  110.00,    0.00,    3.89,   11.36,   13.46,   13.77,   16.35,   16.32
 264,264,   1,  110.00,    0.00,    3.89,   11.16,   13.26,   13.57,   16.30,   16.26
 265,265,   1,  110.00,    0.00,    3.89,   10.95,   13.05,   13.36,   16.24,   16.20
 266,266,   1,  110.00,    0.00,    3.89,   10.74,   12.85,   13.16,   16.17,   16.14
 267,267,   1,  110.00,    0.00,    3.89,   10.54,   12.64,   12.95,   16.11,   16.07
 268,268,   1,  110.00,    0.00,    3.89,   10.33,   12.43,   12.74,   16.04,   16.00
 269,269,   1,  110.00,    0.00,    3.89,   10.12,   12.22,   12.53,   15.97,   15.93
 270,270,   1,  110.00,    0.00,    3.89,    9.91,   12.01,   12.33,   15.90,   15.86
 271,271,   1,  110.00,    0.00,    3.89,    9.69,   11.80,   12.12,   15.82,   15.78
 272,272,   1,  110.00,    0.00,    3.89,    9.48,   11.59,   11.90,   15.75,   15.71
 273,273,   1,  110.00,    0.00,    3.89,    9.27,   11.38,   11.69,   15.67,   15.63
 274,274,   1,  110.00,    0.00,    3.89,    9.06,   11.16,   11.48,   15.59,   15.54
 275,275,   1,  110.00,    0.00,    3.89,    8.84,   10.95,   11.27,   15.50,   15.46
 276,276,   1,  110.00,    0.00,    3.89,    8.63,   10.74,   11.06,   15.42,   15.37
 277,277,   1,  110.00,    0.00,    3.89,    8.41,   10.52,   10.84,   15.33,   15.29
 278,278,   1,  110.00,    0.00,    3.89,    8.20,   10.31,   10.63,   15.25,   15.20
 279,279,   1,  110.00,    0.00,    3.89,    7.98,   10.09,   10.41,   15.15,   15.11
 280,280,   1,  110.00,    0.00,    3.89,    7.77,    9.88,   10.20,   15.06,   15.01
 281,281,   1,  110.00,    0.00,    3.89,    7.55,    9.66,    9.98,   14.97,   14.92
 282,282,   1,  110.00,    0.00,    3.89,    7.34,    9.45,    9.77,   14.87,   14.82
 283,283,   1,  110.00,    0.00,    3.89,    7.12,    9.23,    9.55,   14.77,   14.72
 284,284,   1,  110.00,    0.00,    3.89,    6.91,    9.02,    9.34,   14.67,   14.62
 285,285,   1,  110.00,    0.00,    3.89,    6.69,    8.80,    9.12,   14.57,   14.52
 286,286,   1,  110.00,    0.00,    3.89,    6.48,    8.59,    8.91,   14.47,   14.41
 287,287,   1,  110.00,    0.00,    3.89,    6.26,    8.37,    8.69,   14.36,   14.31
 288,288,   1,  110.00,    0.00,    3.89,    6.05,    8.16,    8.48,   14.26,   14.20
 289,289,   1,  110.00,    0.00,    3.89,    5.84,    7.94,    8.27,   14.15,   14.09
 290,290,   1,  110.00,    0.00,    3.89,    5.62,    7.73,    8.05,   14.04,   13.98
 291,291,   1,  110.00,    0.00,    3.89,    5.41,    7.52,    7.84,   13.93,   13.87
 292,292,   1,  110.00,    0.00,    3.89,    5.20,    7.31,    7.62,   13.81,   13.75
 293,293,   1,  110.00,    0.00,    3.89,    4.99,    7.09,    7.41,   13.70,   13.64
 294,294,   1,  110.00,    0.00,    3.89,    4.78,    6.88,    7.20,   13.58,   13.52
 295,295,   1,  110.00,    0.00,    3.89,    4.57,    6.67,    6.99,   13.46,   13.40
 296,296,   1,  110.00,    0.00,    3.89,    4.36,    6.46,    6.78,   13.34,   13.28
 297,297,   1,  110.00,    0.00,    3.89,    4.15,    6.26,    6.57,   13.22,   13.16
 298,298,   1,  110.00,    0.00,    3.89,    3.95,    6.05,    6.36,   13.10,   13.03
 299,299,   1,  110.00,    0.00,    3.89,    3.74,    5.84,    6.15,   12.98,   12.91
 300,300,   1,  110.00,    0.00,    3.89,    3.54,    5.64,    5.95,   12.85,   12.78
 301,301,   1,  110.00,    0.00,    3.89,    3.33,    5.43,    5.74,   12.72,   12.66
 302,302,   1,  110.00,    0.00,    3.89,    3.13,    5.23,    5.54,   12.60,   12.53
 303,303,   1,  110.00,    0.00,    3.89,    2.93,    5.03,    5.33,   12.47,   12.40
 304,304,   1,  110.00,    0.00,    3.89,    2.73,    4.83,    5.13,   12.34,   12.27
 305,305,   1,  110.00,    0.00,    3.89,    2.53,    4.63,    4.93,   12.21,   12.14
