site,date,temp,50 cm from bottom,1 m from surface
F,2020-08-23,13.635,13.4093055555556,13.8615277777778
F,2020-08-24,13.668,13.4758333333333,13.860625
F,2020-08-25,13.726,13.5615972222222,13.8895833333333
F,2020-08-26,13.757,13.6325,13.8813888888889
F,2020-08-27,13.828,13.71625,13.9395833333333
F,2020-08-28,13.875,13.7752083333333,13.9738194444444
F,2020-08-29,13.919,13.8380555555556,13.9992361111111
F,2020-08-30,14.048,13.9582638888889,14.1384027777778
F,2020-08-31,14.219,14.1025694444444,14.335
F,2020-09-01,14.383,14.2469444444444,14.518125
F,2020-09-02,14.667,14.5029861111111,14.8309027777778
F,2020-09-03,14.878,14.7094444444444,15.0470138888889
F,2020-09-04,15.236,15.0218055555556,15.4501388888889
F,2020-09-05,15.553,15.3447222222222,15.7615972222222
F,2020-09-06,15.672,15.4856944444444,15.8589583333333
F,2020-09-07,15.690,15.51125,15.8680555555556
F,2020-09-08,15.670,15.4788888888889,15.8615277777778
F,2020-09-09,15.843,15.5332638888889,16.1527777777778
F,2020-09-10,16.159,15.6820138888889,16.6352083333333
F,2020-09-11,16.425,15.8748611111111,16.975
F,2020-09-12,16.653,15.990625,17.3152083333333
F,2020-09-13,16.765,16.173125,17.3575694444444
F,2020-09-14,16.549,16.2524305555556,16.8445833333333
F,2020-09-15,16.373,16.2518055555556,16.4946527777778
F,2020-09-16,16.114,16.1047916666667,16.1232638888889
F,2020-09-17,16.020,15.9933333333333,16.0474305555556
F,2020-09-18,15.996,15.94625,16.0465972222222
F,2020-09-19,15.953,15.9045138888889,16.0013888888889
F,2020-09-20,15.882,15.8092361111111,15.9545833333333
F,2020-09-21,15.795,15.7074305555556,15.883125
F,2020-09-22,15.749,15.6425694444444,15.8547916666667
F,2020-09-23,15.767,15.6509027777778,15.8829861111111
F,2020-09-24,15.735,15.5795138888889,15.8895138888889
F,2020-09-25,15.633,15.4366666666667,15.8296527777778
F,2020-09-26,15.556,15.37,15.7428472222222
F,2020-09-27,15.637,15.4335416666667,15.8409722222222
